Open,High,Low,Close,Volume,last_return,rolling_mean,rolling_volatility,intraday_strength,volume_anomaly,target_return,cos_day,sin_day
37.122,37.122,36.039,36.039,1900,-0.02003053274373541,42.3036,2.051030537721617,0.9909504671155945,0.70472618027208,-0.03201633047729043,-0.22252093395631434,0.9749279121818236
37.08,38.644,36.729,38.627,4936,-0.03201633047729043,41.86125,2.1572094010549714,0.9708259253272992,0.31766997433560995,0.07181109353755656,-0.900968867902419,0.43388373911755823
39.855,41.395,39.855,41.359,4090,0.07181109353755656,41.598850000000006,2.0051106370139813,1.041720604099245,1.027691026441807,0.07072772930851474,-0.9009688679024191,-0.433883739117558
41.072,41.072,40.033,40.311,4264,0.07072772930851474,41.50265,2.025381017652386,1.0377367958850836,0.8176892780743318,-0.025339103943518987,1.0,0.0
38.877,39.307,38.877,38.886,7734,-0.025339103943518987,41.3236,1.9612554057711644,0.9814715621347876,0.854218001883126,-0.03535015256381626,0.6234898018587336,0.7818314824680298
38.707,38.859,38.699,38.717,12843,-0.03535015256381626,41.064350000000005,1.6776488342651035,1.0002314993440853,1.4935980378903457,-0.004346037134187215,-0.22252093395631434,0.9749279121818236
39.236,40.158,39.236,40.158,12531,-0.004346037134187215,40.8378,1.5194554433889775,1.0002583512026249,2.6363543056553422,0.03721879277836616,-0.900968867902419,0.43388373911755823
38.817,39.103,38.467,38.896,4021,0.03721879277836616,40.6627,1.5491121471489389,1.0234988276072996,2.3993336779826526,-0.0314258678221027,-0.9009688679024191,-0.433883739117558
36.8,36.872,35.458,35.458,7706,-0.0314258678221027,40.38465000000001,1.5442465404778243,1.002035190766932,0.752996254681648,-0.0883895516248458,1.0,0.0
36.615,37.07,36.615,37.07,29167,-0.0883895516248458,39.933800000000005,1.8692164014783053,0.9635326086956522,1.4294326602917853,0.045462237012803934,0.6234898018587336,0.7818314824680298
36.721,39.925,36.721,37.909,82231,0.045462237012803934,39.57875,1.8826587848040732,1.0124266011197596,4.27230115717006,0.0226328567574858,-0.22252093395631434,0.9749279121818236
36.765,36.792,36.444,36.444,21779,0.0226328567574858,39.280449999999995,1.6881236427860626,1.0323520601290814,7.5213917561134,-0.03864517660713805,-0.900968867902419,0.43388373911755823
36.371,36.381,35.968,35.968,3350,-0.03864517660713805,38.990899999999996,1.8386656272658268,0.9912688698490413,1.8444978001363534,-0.0130611348918889,-0.9009688679024191,-0.433883739117558
34.544,34.544,32.664,33.148,1199,-0.0130611348918889,38.73165,1.6990632092093654,0.9889197437518903,0.283130493576741,-0.07840302491103203,1.0,0.0
33.623,33.623,31.966,31.966,5528,-0.07840302491103203,38.32965,2.076040633299608,0.9595877721167209,0.10379694236196478,-0.03565825992518409,0.6234898018587336,0.7818314824680298
32.683,32.683,30.453,32.029,44059,-0.03565825992518409,37.81345,2.570303881731566,0.9507182583350684,0.4759117049485175,0.0019708440217732085,-0.22252093395631434,0.9749279121818236
31.463,31.572,29.171,29.171,3016,0.0019708440217732085,37.3609,2.8095427544155274,0.9799895970382156,3.342195992459786,-0.08923163383184002,-0.900968867902419,0.43388373911755823
28.975,29.386,27.194,29.146,8442,-0.08923163383184002,36.82945,3.095163160301695,0.9271525283666529,0.22931699120292576,-0.000857015529121339,-0.9009688679024191,-0.433883739117558
30.47,34.026,30.47,34.026,15344,-0.000857015529121339,36.32625,3.197561829825254,1.0059016393442624,0.6258200822862227,0.16743292390036377,1.0,0.0
35.528,35.528,32.002,33.514,10962,0.16743292390036377,36.12795,3.148282814134977,1.1167049556941255,1.1027266324579936,-0.01504731675777348,0.6234898018587336,0.7818314824680298
33.533,33.533,29.646,29.646,45852,-0.01504731675777348,35.942099999999996,2.916064069178766,0.9433123170457105,0.7689879411579014,-0.11541445366115659,-0.22252093395631434,0.9749279121818236
29.772,30.344,28.563,30.103,208488,-0.11541445366115659,35.62245,2.6319082557464863,0.8840843348343422,2.7868981990797863,0.015415233083721268,-0.900968867902419,0.43388373911755823
29.11,31.339,28.85,29.673,170303,0.015415233083721268,35.196250000000006,2.323447393182964,1.01111782883246,7.828976767066087,-0.014284290602265663,-0.9009688679024191,-0.433883739117558
30.086,30.963,29.906,30.891,142064,-0.014284290602265663,34.61195,1.905476773233704,1.019340432840948,4.874023173382522,0.04104741684359519,1.0,0.0
30.353,30.353,29.253,29.253,146268,0.04104741684359519,34.14095,1.7844836943932383,1.0267566309911587,3.396145676825413,-0.05302515295717193,0.6234898018587336,0.7818314824680298
28.258,28.258,26.378,26.774,161337,-0.05302515295717193,33.6593,1.829747511422089,0.9637597601555036,2.999898477469689,-0.08474344511674013,-0.22252093395631434,0.9749279121818236
26.79,27.264,25.769,27.041,277071,-0.08474344511674013,33.06215,2.1471575034086787,0.9474838983650649,2.8716669915017796,0.00997236124598489,-0.900968867902419,0.43388373911755823
25.187,25.51,24.47,24.758,263336,0.00997236124598489,32.4063,2.358041562634307,1.0093691675998508,3.9918397161189376,-0.08442735105950228,-0.9009688679024191,-0.433883739117558
24.177,24.856,23.53,23.648,121987,-0.08442735105950228,31.699399999999997,2.885323646394657,0.9829674038194306,3.196791263379346,-0.044833993052750605,1.0,0.0
24.74,26.774,23.881,26.774,162458,-0.044833993052750605,31.1089,2.968840119567777,0.9781197005418373,1.384812999103749,0.1321887686062247,0.6234898018587336,0.7818314824680298
26.351,28.563,25.437,26.189,141518,0.1321887686062247,30.594100000000005,2.4273436075035826,1.0822150363783347,1.7145293534711574,-0.021849555538955734,-0.22252093395631434,0.9749279121818236
